City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Nam Phong,TH,16.7023,102.8557,81.09,64,61,3.15,broken clouds
200,Hualmay,PE,-11.0964,-77.6139,64.85,81,7,11.59,clear sky
201,Saint Andrews,US,34.0454,-81.1293,68.59,77,100,12.66,overcast clouds
202,Ulcinj,ME,41.9294,19.2244,59.22,62,100,11.77,overcast clouds
203,Montepuez,MZ,-13.1256,38.9997,67.06,90,0,3.4,clear sky
204,Vestmanna,FO,62.1564,-7.1664,49.12,81,100,13.8,overcast clouds
205,Saldanha,ZA,-33.0117,17.9442,59.5,92,6,10.98,clear sky
206,Zyryanka,RU,65.75,150.85,-22.23,99,99,1.48,overcast clouds
207,Trofors,NO,65.5333,13.4063,45.68,97,100,25.3,light rain
208,Cururupu,BR,-1.8283,-44.8683,76.32,89,64,3.83,broken clouds
209,Arenapolis,BR,-14.4503,-56.8461,71.35,95,100,3.18,overcast clouds
210,Galesong,ID,-5.3166,119.3661,82.42,72,100,2.66,overcast clouds
211,Cherrapunji,IN,25.3,91.7,51.73,64,2,4.47,clear sky
212,Fortuna,US,40.5982,-124.1573,50.94,94,100,1.01,light rain
213,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,9,6.31,clear sky
214,Along,IN,28.1667,94.7667,59.14,65,61,1.3,broken clouds
215,Kristiansund,NO,63.1115,7.732,51.85,87,75,27.63,broken clouds
216,Bubaque,GW,11.2833,-15.8333,83.12,58,100,7.14,overcast clouds
217,Plettenberg Bay,ZA,-34.0527,23.3716,63.05,91,12,6.44,few clouds
218,Kita,ML,13.0349,-9.4895,72.18,17,100,1.41,overcast clouds
219,Miri,MY,4.4148,114.0089,82.54,83,20,3.44,few clouds
220,Chokurdakh,RU,70.6333,147.9167,-26.12,99,91,6.55,overcast clouds
221,Elmadag,TR,39.9208,33.2308,41.34,68,1,4.76,clear sky
222,Karratha,AU,-20.7377,116.8463,83.01,26,0,6.02,clear sky
223,Mookane,BW,-23.688,26.6595,68.88,74,100,10.25,overcast clouds
224,Zharkent,KZ,44.1628,80.0,33.93,51,76,3.53,broken clouds
225,San Lawrenz,MT,36.0553,14.204,65.86,81,29,13.35,scattered clouds
226,Yar-Sale,RU,66.8333,70.8333,-0.09,98,92,10.42,overcast clouds
227,Shush,IR,32.1942,48.2436,70.3,63,100,1.77,overcast clouds
228,Sola,VU,-13.8833,167.55,81.27,89,100,0.0,heavy intensity rain
229,Husavik,IS,66.0449,-17.3389,38.16,96,100,4.14,overcast clouds
230,Pandan,PH,14.0453,124.1694,83.91,78,100,8.97,overcast clouds
231,Chara,RU,56.9064,118.2631,7.14,74,22,2.13,few clouds
232,Lyambir,RU,54.2817,45.1249,41.05,100,100,15.9,overcast clouds
233,Saint-Orens-De-Gameville,FR,43.554,1.5341,63.25,82,40,13.8,scattered clouds
234,Naryan-Mar,RU,67.6713,53.087,12.29,88,100,10.96,overcast clouds
235,Sechura,PE,-5.5569,-80.8222,63.32,83,47,14.99,scattered clouds
236,Necochea,AR,-38.5473,-58.7368,58.46,89,100,13.8,moderate rain
237,Ossora,RU,59.2353,163.0719,34.18,93,100,10.69,snow
238,Tarauaca,BR,-8.1614,-70.7656,75.16,84,66,3.22,broken clouds
239,Carutapera,BR,-1.195,-46.02,77.61,86,71,4.97,light rain
240,Kiunga,PG,-6.1219,141.2906,87.57,60,97,3.0,overcast clouds
241,Pontianak,ID,-0.0333,109.3333,75.18,100,20,4.61,few clouds
242,Paraiso,CR,9.8383,-83.8656,65.41,99,97,0.51,overcast clouds
243,Gamba,GA,-2.65,10.0,75.6,90,91,6.17,light rain
244,Hambantota,LK,6.1241,81.1185,75.54,100,40,2.3,scattered clouds
245,Puteyets,RU,65.1716,57.091,18.64,96,100,4.12,overcast clouds
246,Berdigestyakh,RU,62.0989,126.6992,-15.25,100,98,4.0,overcast clouds
247,Touros,BR,-5.1989,-35.4608,78.44,73,15,12.28,few clouds
248,Aitape,PG,-3.1374,142.3475,84.99,68,100,3.15,overcast clouds
249,Makakilo City,US,21.3469,-158.0858,82.72,49,75,14.97,broken clouds
250,Neiafu,TO,-18.65,-173.9833,86.68,74,20,5.75,few clouds
251,Simpang,ID,-1.2667,104.0833,78.39,88,100,3.13,overcast clouds
252,Henties Bay,NA,-22.116,14.2845,58.23,91,0,6.44,clear sky
253,San Cristobal,VE,7.7669,-72.225,69.98,98,78,2.1,broken clouds
254,Dong Xoai,VN,11.5333,106.9167,77.88,79,99,4.54,overcast clouds
255,Lichinga,MZ,-13.3128,35.2406,66.29,82,75,9.22,broken clouds
256,Flinders,AU,-34.5833,150.8552,78.19,69,4,4.0,clear sky
257,Zapolyarnyy,RU,69.4154,30.8136,31.28,99,100,3.09,light snow
258,Nsanje,MW,-16.92,35.262,72.37,93,100,3.47,overcast clouds
259,Roald,NO,62.5833,6.1333,55.76,87,100,27.63,overcast clouds
260,Hudiksvall,SE,61.729,17.1036,57.27,75,0,16.6,clear sky
261,Moi,NO,58.4567,6.5518,55.38,97,100,11.34,overcast clouds
262,Bendigo,AU,-36.7667,144.2833,70.86,57,100,5.99,overcast clouds
263,Banes,CU,20.9625,-75.7186,78.46,82,72,5.91,broken clouds
264,Butaritari,KI,3.0707,172.7902,81.84,73,82,13.96,broken clouds
265,Tuatapere,NZ,-46.1333,167.6833,58.69,71,100,7.83,overcast clouds
266,Lagoa,PT,39.05,-27.9833,61.72,69,8,25.9,clear sky
267,Malkara,TR,40.89,26.9011,50.4,82,100,12.35,overcast clouds
268,Umm Lajj,SA,25.0213,37.2685,75.15,61,0,5.57,clear sky
269,Ayagoz,KZ,47.9714,80.4392,28.38,87,100,11.88,overcast clouds
270,Rocha,UY,-34.4833,-54.3333,59.14,95,55,7.45,broken clouds
271,Cidreira,BR,-30.1811,-50.2056,67.12,88,100,12.17,overcast clouds
272,Plaeng Yao,TH,13.5847,101.284,84.76,33,100,3.74,overcast clouds
273,Zaigrayevo,RU,51.8336,108.2703,18.23,84,100,1.1,overcast clouds
274,Bagaha,IN,27.1,84.0833,61.72,81,0,5.3,clear sky
275,Flin Flon,CA,54.7682,-101.865,10.24,79,75,4.61,light snow
276,Green River,US,41.5286,-109.4662,26.98,62,0,5.01,clear sky
277,Emerald,AU,-23.5333,148.1667,85.78,37,0,9.1,clear sky
278,Khromtau,KZ,50.2503,58.4347,30.24,88,85,18.66,overcast clouds
279,Lakhnadon,IN,22.6,79.6,60.28,65,89,2.01,overcast clouds
280,Shenzhen,CN,22.5455,114.0683,78.08,93,8,3.76,clear sky
281,Clifton,US,40.8584,-74.1638,70.2,94,100,14.97,mist
282,Tera,NE,14.0078,0.7531,82.65,22,2,8.57,clear sky
283,Dezhou,CN,37.4486,116.2925,55.96,83,100,14.2,moderate rain
284,Rio Gallegos,AR,-51.6226,-69.2181,51.85,43,40,8.05,scattered clouds
285,Lucapa,AO,-8.4192,20.7447,63.95,97,100,2.93,overcast clouds
286,Beringovskiy,RU,63.05,179.3167,11.71,90,36,13.56,scattered clouds
287,Verkhoyansk,RU,67.5447,133.385,-17.55,100,100,1.39,overcast clouds
288,Aiken,US,33.5835,-81.5998,69.12,99,100,16.11,light intensity drizzle
289,East Hemet,US,33.74,-116.9389,66.42,33,100,2.39,overcast clouds
290,Caravelas,BR,-17.7125,-39.2481,75.0,85,100,6.89,light rain
291,Dingle,PH,10.9995,122.6711,83.21,82,99,10.58,overcast clouds
292,Udachnyy,RU,66.4167,112.4,0.45,84,100,5.12,overcast clouds
293,Hami,CN,42.8,93.45,32.11,44,0,3.31,clear sky
294,Pilar,BR,-9.5972,-35.9567,75.13,93,20,3.87,few clouds
295,Mahibadhoo,MV,3.7833,72.9667,78.22,85,100,17.69,overcast clouds
296,Nanae,JP,41.8833,140.6833,52.03,62,75,6.91,broken clouds
297,West Bay,KY,19.3667,-81.4167,82.47,86,20,5.75,few clouds
298,Vardo,NO,70.3705,31.1107,38.73,95,100,2.26,light rain
299,Kozan,TR,37.4552,35.8157,60.28,50,2,6.6,clear sky
300,Peniche,PT,39.3558,-9.3811,60.12,80,0,10.38,clear sky
301,Gorom-Gorom,BF,14.4439,-0.2361,79.86,19,0,4.41,clear sky
302,Brae,GB,60.3964,-1.353,52.39,86,60,21.47,broken clouds
303,Bandarbeyla,SO,9.4942,50.8122,78.04,76,18,12.68,few clouds
304,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,78,1,6.26,clear sky
305,Panzos,GT,15.4,-89.6667,74.14,91,30,1.25,scattered clouds
306,Nemuro,JP,43.3236,145.575,52.2,73,100,27.6,overcast clouds
307,Nerchinskiy Zavod,RU,51.3088,119.61,5.18,85,19,1.05,few clouds
308,Amalapuram,IN,16.5833,82.0167,76.05,74,98,7.85,overcast clouds
309,Arbroath,GB,56.5632,-2.5874,49.98,84,18,7.0,few clouds
310,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,6.91,clear sky
311,Codrington,AU,-38.2667,141.9667,61.65,71,89,11.65,moderate rain
312,Monsenhor Gil,BR,-5.5642,-42.6078,79.77,64,97,3.78,overcast clouds
313,Road Town,VG,18.4167,-64.6167,80.64,89,20,6.91,few clouds
314,Bafq,IR,31.6128,55.4107,59.61,37,59,2.91,broken clouds
315,Tonekabon,IR,36.8163,50.8738,55.35,83,87,1.19,overcast clouds
316,Namibe,AO,-15.1961,12.1522,63.64,78,92,8.03,overcast clouds
317,Pecos,US,31.4229,-103.4932,53.69,32,0,8.05,clear sky
318,Yagodnoye,RU,62.55,149.6667,-20.47,97,20,3.47,few clouds
319,Morehead,US,37.2711,-87.1764,52.0,74,43,3.0,scattered clouds
320,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,93,70,12.62,broken clouds
321,Fort Nelson,CA,58.8053,-122.7002,15.39,79,75,3.44,broken clouds
322,Bintulu,MY,3.1667,113.0333,79.21,94,20,5.01,few clouds
323,Dawlatabad,AF,36.4141,64.9053,44.96,53,11,4.41,few clouds
324,Nalut,LY,30.3333,10.85,57.83,63,18,10.87,few clouds
325,Kudahuvadhoo,MV,2.6708,72.8944,79.93,79,100,13.0,overcast clouds
326,Madimba,TZ,-10.4,40.3333,74.59,85,10,4.36,clear sky
327,Cayenne,GF,4.9333,-52.3333,77.04,94,40,0.0,scattered clouds
328,Walcz,PL,53.2779,16.4712,44.22,92,100,7.43,overcast clouds
329,Prince Rupert,CA,54.3161,-130.3201,42.49,87,40,5.75,scattered clouds
330,Wladyslawowo,PL,54.7909,18.4009,53.15,79,100,23.64,overcast clouds
331,Cocobeach,GA,1.0002,9.5823,73.9,95,100,8.72,moderate rain
332,Kisangani,CD,0.5167,25.2,67.08,100,100,0.54,overcast clouds
333,Petrozavodsk,RU,61.7849,34.3469,45.86,87,100,13.42,overcast clouds
334,Pisco,PE,-13.7,-76.2167,64.45,82,0,17.27,clear sky
335,Richards Bay,ZA,-28.783,32.0377,71.53,82,100,14.41,overcast clouds
336,Praia,CV,14.9215,-23.5087,75.74,78,75,12.66,broken clouds
337,Morondava,MG,-20.2833,44.2833,79.7,71,93,3.6,overcast clouds
338,Veranopolis,BR,-28.9361,-51.5494,55.58,99,60,1.57,broken clouds
339,Maxixe,MZ,-23.8597,35.3472,74.61,89,85,3.22,overcast clouds
340,Muroto,JP,33.2833,134.15,69.4,70,1,8.84,clear sky
341,Katobu,ID,-4.9408,122.5276,87.66,60,60,2.59,broken clouds
342,Valley,US,45.1277,-116.1262,14.61,95,100,4.14,overcast clouds
343,Ancud,CL,-41.8697,-73.8203,52.75,97,100,1.79,light rain
344,Dunedin,NZ,-45.8742,170.5036,63.46,53,90,9.22,overcast clouds
345,Cubara,CO,7.0008,-72.1085,74.23,94,90,2.19,overcast clouds
